"","Idtransecto","zona","fecha","hora","indivs"
"1","1","guisando","45021","0.29166666666666669","9"
"2","2","guisando","45021","0.30555555555555552","24"
"3","3","guisando","45021","0.32361111111111113","27"
"4","4","guisando","45021","0.34166666666666662","18"
"5","5","guisando","45021","0.35416666666666669","12"
"6","6","guisando","45021","0.37152777777777773","18"
"7","1","guisando","45026","0.29166666666666669","33"
"8","2","guisando","45026","0.3125","29"
"9","3","guisando","45026","0.32291666666666669","7"
"10","4","guisando","45026","0.34722222222222227","12"
"11","5","guisando","45026","0.3611111111111111","4"
"12","6","guisando","45026","0.37152777777777773","2"
