"","Idtransecto","zona","fecha","hora","indivs"
"1","1","marrupe","45019","0.29166666666666669","18"
"2","2","marrupe","45019","0.3","18"
"3","3","marrupe","45019","0.30208333333333331","21"
"4","4","marrupe","45019","0.30694444444444441","27"
"5","5","marrupe","45019","0.3125","21"
"6","6","marrupe","45019","0.31944444444444448","18"
"7","7","marrupe","45019","0.33333333333333331","15"
"8","8","marrupe","45019","0.33611111111111108","18"
"9","1","marrupe","45024","0.30208333333333331","12"
"10","2","marrupe","45024","0.30902777777777779","3"
"11","3","marrupe","45024","0.3125","0"
"12","4","marrupe","45024","0.31875000000000003","8"
"13","5","marrupe","45024","0.32777777777777778","20"
"14","6","marrupe","45024","0.33819444444444446","22"
"15","7","marrupe","45024","0.34722222222222227","4"
"16","8","marrupe","45024","0.3576388888888889","6"
